"p_value","BMA","BMA2","DFM2","LAS","LAS2","RDF","RDF2","RDG","RDG2","DFM","ARM","OLS","MAG","MAG2","RWM","ESMB"
"BMA",NA,0.826530658872675,0.464541987381784,0.559573517244673,0.0984646542570848,0.906902477735025,0.340511646942526,0.0869948066170489,0.0205716354934038,0.484926311583921,0.448194298595276,0.265746991519965,0.503845204393534,0.65692620110804,0.98335221995868,0.0159311245280076
"BMA2",0.826530658872675,NA,0.747994541054126,0.809150292255707,0.208654655437102,0.940825477729524,0.363874658935063,0.304221236869844,0.068313833440468,0.741601137259059,0.639613062878375,0.264139124741814,0.707346827454413,0.84786559128655,0.897484789097115,0.148336338821929
"DFM2",0.464541987381784,0.747994541054126,NA,0.87267200170589,0.390791932752771,0.718298132586365,0.643145905352572,0.239753582998081,0.0140922898106739,0.958539650199783,0.74461007448197,0.260826920958727,0.912261774482207,0.780424180010598,0.524387082323821,0.0864288890856175
"LAS",0.559573517244673,0.809150292255707,0.87267200170589,NA,0.181968059240721,0.760015763439682,0.441501451311111,0.291334211547611,0.0981819555980845,0.867599076208154,0.768069671375945,0.262222181730596,0.841185313730592,0.986471572724344,0.795290284854884,0.151232293560436
"LAS2",0.0984646542570848,0.208654655437102,0.390791932752771,0.181968059240721,NA,0.297630342987315,0.785249803698366,0.744519773253752,0.173216596767961,0.423268102468693,0.544934590484521,0.250928816564163,0.482503941667916,0.395366401185281,0.357247753434779,0.91034061036398
"RDF",0.906902477735025,0.940825477729524,0.718298132586365,0.760015763439682,0.297630342987315,NA,0.304703867546235,0.327709585874035,0.0970703653364549,0.726116681263045,0.669355649659253,0.265273928527631,0.721593566695621,0.83347697700903,0.953056552336869,0.198868916624617
"RDF2",0.340511646942526,0.363874658935063,0.643145905352572,0.441501451311111,0.785249803698366,0.304703867546236,NA,0.962249517907777,0.236585357722193,0.658587535665996,0.767316932875064,0.254385639464627,0.694151570503286,0.583966062426531,0.483265842331543,0.675901925700575
"RDG",0.0869948066170489,0.304221236869844,0.239753582998081,0.291334211547611,0.744519773253752,0.327709585874035,0.962249517907777,NA,0.114750544643025,0.247206064730008,0.493341764505827,0.254395463439559,0.362808553761142,0.232272267506998,0.258726357373731,0.329654233861342
"RDG2",0.0205716354934038,0.068313833440468,0.014092289810674,0.0981819555980845,0.173216596767961,0.0970703653364548,0.236585357722193,0.114750544643025,NA,0.0245899324153717,0.0561716167263728,0.239434095963519,0.05247703078971,0.0410353918996735,0.0442505367636611,0.164989828001137
"DFM",0.484926311583921,0.741601137259059,0.958539650199783,0.867599076208154,0.423268102468693,0.726116681263045,0.658587535665996,0.247206064730008,0.0245899324153718,NA,0.64972275403009,0.260740781553934,0.890999518391656,0.656001969134075,0.424348662887454,0.107543542311406
"ARM",0.448194298595276,0.639613062878375,0.74461007448197,0.768069671375945,0.544934590484521,0.669355649659253,0.767316932875064,0.493341764505827,0.0561716167263728,0.649722754030091,NA,0.258988801655027,0.194216107196776,0.0164021028953561,0.161083538022247,0.262173140033324
"OLS",0.265746991519965,0.264139124741814,0.260826920958727,0.262222181730596,0.250928816564163,0.265273928527631,0.254385639464628,0.254395463439559,0.239434095963519,0.260740781553934,0.258988801655027,NA,0.260227879472596,0.262486024252224,0.266983038524851,0.248283258895394
"MAG",0.503845204393534,0.707346827454413,0.912261774482207,0.841185313730592,0.482503941667916,0.721593566695621,0.694151570503286,0.362808553761142,0.05247703078971,0.890999518391656,0.194216107196776,0.260227879472596,NA,0.00311226133201868,0.235944819692445,0.18619243284889
"MAG2",0.65692620110804,0.84786559128655,0.780424180010598,0.986471572724344,0.395366401185282,0.83347697700903,0.583966062426531,0.232272267506998,0.0410353918996735,0.656001969134075,0.016402102895356,0.262486024252224,0.0031122613320187,NA,0.406657320069931,0.121268924775097
"RWM",0.98335221995868,0.897484789097115,0.524387082323821,0.795290284854884,0.35724775343478,0.953056552336869,0.483265842331543,0.258726357373732,0.044250536763661,0.424348662887454,0.161083538022246,0.266983038524851,0.235944819692445,0.406657320069931,NA,0.162834187661169
"ESMB",0.0159311245280075,0.148336338821929,0.0864288890856175,0.151232293560436,0.91034061036398,0.198868916624617,0.675901925700575,0.329654233861342,0.164989828001137,0.107543542311406,0.262173140033324,0.248283258895394,0.18619243284889,0.121268924775097,0.162834187661169,NA
